"concept_id_1","concept_id_2","relationship_id"
4051568,43528698,"Has Module"
4051576,43528698,"Has Module"
4051702,43528698,"Has Module"
4052804,43528698,"Has Module"
4053372,43528698,"Has Module"
4053375,43528698,"Has Module"
4053377,43528698,"Has Module"
4053378,43528698,"Has Module"
4053380,43528698,"Has Module"
4053383,43528698,"Has Module"
4053384,43528698,"Has Module"
4053387,43528698,"Has Module"
4058267,43529712,"Has Module"
4058268,43529712,"Has Module"
4058274,43529712,"Has Module"
4058275,43529712,"Has Module"
4058278,43529712,"Has Module"
4058280,43529712,"Has Module"
4058281,43529712,"Has Module"
4058284,43529712,"Has Module"
4058286,43529712,"Has Module"
4058288,43529712,"Has Module"
4058289,43529712,"Has Module"
4058291,43529712,"Has Module"
4058293,43529712,"Has Module"
4058297,43529712,"Has Module"
4058298,43529712,"Has Module"
4058299,43529712,"Has Module"
4058405,43529712,"Has Module"
4058408,43529712,"Has Module"
4058429,1585710,"Has Module"
4058430,1585710,"Has Module"
4058562,43529712,"Has Module"
4058705,43529712,"Has Module"
4058706,43529712,"Has Module"
4058708,43529712,"Has Module"
4058709,43529712,"Has Module"
4058711,43529712,"Has Module"
4058714,43529712,"Has Module"
4058715,43529712,"Has Module"
4058717,43529712,"Has Module"
4058719,43529712,"Has Module"
4058720,43529712,"Has Module"
